    .50000  .50000   -10.00000  10.50000    .00000  20.00000
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
  185D  195D  205D  205D   15E
   15E   15D   15D   25D   25D   35D   35D   45D   45D   55D   55D   65D
   65D   75D   75D   85D   85D   95D   95D  105D  105D  115D  115D  125D
  125D  135D  135D  145D  145D  155D  155D  165D  165D  175D  175D  185D
